"","listing_id","nearest_stn","stn_distance","dist_centre"
"1",49091,"ADMIRALTY MRT STATION",617.417339440318,18484.2690485838
"2",50646,"KING ALBERT PARK MRT STATION",399.473123348543,9108.86763811157
"3",56334,"ADMIRALTY MRT STATION",524.060873535847,18441.7958878814
"4",71609,"SIMEI MRT STATION",486.473907930073,13288.0038820944
"5",71896,"UPPER CHANGI MRT STATION",480.925200837015,13545.2729640213
"6",71903,"UPPER CHANGI MRT STATION",588.797916082663,13754.2542978959
"7",71907,"UPPER CHANGI MRT STATION",289.201136991713,13796.2487965658
"8",294281,"NEWTON MRT STATION",120.518470352573,3222.11081526857
"9",301247,"PAYA LEBAR MRT STATION",245.504116216747,5325.16314950852
"10",344803,"UPPER CHANGI MRT STATION",881.284451317219,13741.8394584473
"11",355955,"EUNOS MRT STATION",628.264696653524,6280.93005309598
"12",369141,"NEWTON MRT STATION",101.112502117834,3278.79199776937
"13",369145,"NEWTON MRT STATION",224.269841695079,3331.75733563204
"14",395191,"SOMERSET MRT STATION",848.540492244845,2094.19440960247
"15",423875,"UPPER CHANGI MRT STATION",778.907093666061,13652.980411146
"16",468782,"LORONG CHUAN MRT STATION",1243.83383887525,8583.85327648425
"17",469454,"SIMEI MRT STATION",539.764673378544,13325.1771217177
"18",481789,"TAMPINES WEST MRT STATION",731.379122275924,11166.6740962192
"19",553229,"BOON LAY MRT STATION",662.294218079243,16887.3343236528
"20",604966,"SIXTH AVENUE MRT STATION",394.246187106548,8289.7251474099
"21",606784,"UPPER CHANGI MRT STATION",410.250051485996,13142.4667480358
"22",642660,"LITTLE INDIA MRT STATION",314.231061374802,1634.72521472921
"23",696136,"HOLLAND VILLAGE MRT STATION",460.151711826334,6570.81294385958
"24",733863,"KOVAN MRT STATION",1574.03973350828,9269.38001985316
"25",747813,"TANJONG PAGAR MRT STATION",73.3433715009821,1395.47701254236
"26",747816,"TANJONG PAGAR MRT STATION",75.5725156943042,1414.98903779058
"27",756267,"DAKOTA MRT STATION",1425.16904771695,5651.12152549833
"28",765579,"CHINATOWN MRT STATION",103.453541272987,1201.87444349655
"29",768313,"COVE LRT STATION",64.0643122764955,13907.3290218183
"30",782227,"HAW PAR VILLA MRT STATION",457.889174379028,7479.14762526396
"31",819034,"EUNOS MRT STATION",1651.34539690413,5929.45291705406
"32",819044,"DAKOTA MRT STATION",1444.00790672469,5676.47750405891
"33",823571,"KEMBANGAN MRT STATION",902.881622089752,7470.07797212515
"34",833289,"TIONG BAHRU MRT STATION",1102.14205768786,3424.34335921032
"35",881253,"CHINATOWN MRT STATION",173.68037731465,1204.1130365023
"36",915275,"FARRER PARK MRT STATION",292.089839353013,2907.55082278468
"37",918880,"KOVAN MRT STATION",1640.5269878496,9428.49426940928
"38",922509,"CHINATOWN MRT STATION",51.0528742435562,1149.66147670684
"39",982909,"BUKIT BROWN MRT STATION",227.427438254627,5687.69049975866
"40",1024986,"FORT CANNING MRT STATION",767.240093487741,1867.36563491926
"41",1131162,"BEDOK RESERVOIR MRT STATION",278.037220022323,10227.6123490161
"42",1142414,"BENDEMEER MRT STATION",482.518063772515,2907.88486341813
"43",1183421,"CHINATOWN MRT STATION",259.056019758739,965.131833445085
"44",1210268,"STEVENS MRT STATION",444.667483511841,4403.79021281499
"45",1229614,"STEVENS MRT STATION",559.758837518646,4369.86280025417
"46",1233249,"STEVENS MRT STATION",566.479778053288,4305.22579138992
"47",1244654,"CHINATOWN MRT STATION",106.142857147617,1196.46157720034
"48",1249555,"FARRER PARK MRT STATION",215.75875878911,2878.81151346179
"49",1261443,"CHINATOWN MRT STATION",42.6463759064435,1128.21717493595
"50",1277842,"KENT RIDGE MRT STATION",1795.65254889895,9425.5060696172
"51",1277919,"KENT RIDGE MRT STATION",1795.65254889895,9425.5060696172
"52",1302185,"PAYA LEBAR MRT STATION",395.009725840933,5148.65816246461
"53",1363204,"CHINATOWN MRT STATION",128.616129925607,1224.03850957469
"54",1413962,"KAKI BUKIT MRT STATION",677.14972711143,7713.81195375486
"55",1495386,"PASIR RIS MRT STATION",1018.61619654684,14546.7312978061
"56",1508829,"LAVENDER MRT STATION",69.8500897299811,2629.39347876055
"57",1562453,"NOVENA MRT STATION",750.665200808338,4149.26490787421
"58",1581224,"KALLANG MRT STATION",257.107816001631,3578.68094500019
"59",1611318,"TIONG BAHRU MRT STATION",233.353397475536,2838.26841239022
"60",1615074,"CHINATOWN MRT STATION",103.453541272987,1201.87444349655
"61",1634407,"PAYA LEBAR MRT STATION",795.67898564357,5597.55553367442
"62",1643945,"YIO CHU KANG MRT STATION",1354.69777445447,11611.1726401414
"63",1646909,"BUKIT BATOK MRT STATION",1436.52767556163,12014.4780638511
"64",1647014,"BUKIT BROWN MRT STATION",1041.3078643499,6747.70189415201
"65",1654840,"BUGIS MRT STATION",373.755554485001,1914.93429877349
"66",1678744,"CHINATOWN MRT STATION",81.0559547230129,1018.4448807569
"67",1678754,"CHINATOWN MRT STATION",81.0559547230129,1018.4448807569
"68",1678755,"CHINATOWN MRT STATION",81.0559547230129,1018.4448807569
"69",1710048,"CHINATOWN MRT STATION",102.706027813406,1188.0007550205
"70",1715479,"DHOBY GHAUT MRT STATION",81.1585145514742,1621.6408715977
"71",1719704,"CHINATOWN MRT STATION",103.453541272987,1201.87444349655
"72",1726303,"FARRER PARK MRT STATION",298.329065226984,2947.78539389871
