station_name,type,lat,lng
Jurong East,MRT,1.333207,103.742308
Bukit Batok,MRT,1.349069,103.749596
Bukit Gombak,MRT,1.359043,103.751863
Choa Chu Kang,MRT,1.385417,103.744316
Yew Tee,MRT,1.397383,103.747523
Kranji,MRT,1.425302,103.762049
Marsiling,MRT,1.432579,103.77415
Woodlands,MRT,1.436984,103.786406
Admiralty,MRT,1.436984,103.786406
Sembawang,MRT,1.449133,103.82006
Yishun,MRT,1.429666,103.835044
Khatib,MRT,1.417423,103.832995
Yio Chu Kang,MRT,1.381765,103.844923
Ang Mo Kio,MRT,1.370025,103.849588
Bishan,MRT,1.35092,103.848206
Braddell,MRT,1.34055,103.847098
Toa Payoh,MRT,1.332405,103.847436
Novena,MRT,1.320089,103.843405
Newton,MRT,1.31383,103.838021
Orchard,MRT,1.304041,103.831792
Somerset,MRT,1.300508,103.838428
Dhoby Ghaut,MRT,1.299169,103.845799
City Hall,MRT,1.293119,103.852089
Raffles Place,MRT,1.284001,103.85155
Marina Bay,MRT,1.276481,103.854598
Marina South Pier,MRT,1.271422,103.863581
Tuas Link,MRT,1.340371,103.636866
Tuas West Road,MRT,1.330075,103.639636
Tuas Crescent,MRT,1.321091,103.649075
Gul Circle,MRT,1.319809,103.66083
Joo Koon,MRT,1.327826,103.678318
Pioneer,MRT,1.337645,103.69742
Boon Lay,MRT,1.33862,103.705817
Lakeside,MRT,1.344264,103.720797
Chinese Garden,MRT,1.342436,103.732582
Clementi,MRT,1.314925,103.765341
Dover,MRT,1.311414,103.778596
Buona Vista,MRT,1.307337,103.790046
Commonwealth,MRT,1.302439,103.798326
Queenstown,MRT,1.294867,103.805902
Redhill,MRT,1.289674,103.816787
Tiong Bahru,MRT,1.286555,103.826956
Outram Park,MRT,1.280319,103.839459
Tanjong Pagar,MRT,1.276385,103.846771
Bugis,MRT,1.300747,103.855873
Lavender,MRT,1.307577,103.863155
Kallang,MRT,1.311532,103.871372
Aljunied,MRT,1.316474,103.882762
Paya Lebar,MRT,1.318214,103.893133
Eunos,MRT,1.319809,103.902888
Kembangan,MRT,1.320998,103.913433
Bedok,MRT,1.324043,103.930205
Tanah Merah,MRT,1.327309,103.946479
Simei,MRT,1.343237,103.953343
Tampines,MRT,1.354467,103.943325
Pasir Ris,MRT,1.373234,103.949343
Expo,MRT,1.334479,103.961459
Changi Airport,MRT,1.357622,103.988487
HarbourFront,MRT,1.265453,103.820514
Chinatown,MRT,1.284566,103.843626
Clarke Quay,MRT,1.288949,103.847521
Little India,MRT,1.306691,103.849396
Farrer Park,MRT,1.312679,103.854872
Boon Keng,MRT,1.320091,103.861655
Potong Pasir,MRT,1.331316,103.868779
Woodleigh,MRT,1.339202,103.870727
Serangoon,MRT,1.349862,103.873635
Kovan,MRT,1.360207,103.885163
Hougang,MRT,1.371406,103.892533
Buangkok,MRT,1.382991,103.893347
Sengkang,MRT,1.391682,103.895475
Punggol,MRT,1.405191,103.902367
Bras Basah,MRT,1.296978,103.850715
Esplanade,MRT,1.293995,103.855396
Promenade,MRT,1.294063,103.860156
Nicoll Highway,MRT,1.300292,103.863449
Stadium,MRT,1.302847,103.875417
Mountbatten,MRT,1.306106,103.883175
Dakota,MRT,1.308474,103.888825
MacPherson,MRT,1.326769,103.889901
Tai Seng,MRT,1.33594,103.887706
Bartley,MRT,1.342923,103.87966
Lorong Chuan,MRT,1.35153,103.864957
Marymount,MRT,1.349089,103.839116
Caldecott,MRT,1.337649,103.839627
Botanic Gardens,MRT,1.322387,103.814905
Farrer Road,MRT,1.317606,103.807711
Holland Village,MRT,1.311189,103.796119
one-north,MRT,1.299854,103.787584
Kent Ridge,MRT,1.293629,103.784441
Haw Par Villa,MRT,1.283149,103.781991
Pasir Panjang,MRT,1.276111,103.791893
Labrador Park,MRT,1.27218,103.802557
Telok Blangah,MRT,1.270769,103.809878
Bayfront,MRT,1.281371,103.858998
Bukit Panjang,MRT,1.37834,103.762452
Cashew,MRT,1.369997,103.764569
Hillview,MRT,1.363185,103.767371
Beauty World,MRT,1.341607,103.775682
King Albert Park,MRT,1.335721,103.783203
Sixth Avenue,MRT,1.331221,103.79718
Tan Kah Kee,MRT,1.325826,103.807959
Stevens,MRT,1.320012,103.825964
Rochor,MRT,1.303601,103.852581
Downtown,MRT,1.27949,103.852802
Telok Ayer,MRT,1.282285,103.848584
Fort Canning,MRT,1.291631,103.844621
Bencoolen,MRT,1.298477,103.849984
Jalan Besar,MRT,1.305551,103.855443
Bendemeer,MRT,1.313674,103.863098
Geylang Bahru,MRT,1.321479,103.871457
Mattar,MRT,1.326878,103.883304
Ubi,MRT,1.330008,103.898911
Kaki Bukit,MRT,1.335076,103.909057
Bedok North,MRT,1.335268,103.918054
Bedok Reservoir,MRT,1.336595,103.93307
Tampines West,MRT,1.345583,103.938244
Tampines East,MRT,1.35631,103.955471
Upper Changi,MRT,1.342218,103.961505
South View,LRT,1.380299,103.745286
Keat Hong,LRT,1.378604,103.749058
Teck Whye,LRT,1.376738,103.753665
Phoenix,LRT,1.378798,103.758021
Senja,LRT,1.382852,103.762312
Jelapang,LRT,1.386703,103.764547
Segar,LRT,1.387713,103.769599
Fajar,LRT,1.384502,103.770862
Bangkit,LRT,1.380281,103.772576
Pending,LRT,1.376223,103.771277
Petir,LRT,1.377828,103.76655
Compassvale,LRT,1.394615,103.900443
Rumbia,LRT,1.391553,103.905947
Bakau,LRT,1.38804,103.905412
Kangkar,LRT,1.383957,103.90216
Ranggung,LRT,1.384116,103.897386
Cheng Lim,LRT,1.396332,103.89379
Farmway,LRT,1.397178,103.889168
Kupang,LRT,1.398271,103.881283
Thanggam,LRT,1.397378,103.87561
Fernvale,LRT,1.392033,103.876256
Layar,LRT,1.392141,103.880022
Tongkang,LRT,1.389519,103.885829
Renjong,LRT,1.386827,103.890541
Cove,LRT,1.399534,103.905792
Meridian,LRT,1.397002,103.908884
Coral Edge,LRT,1.39392,103.912633
Riviera,LRT,1.39454,103.916056
Kadaloor,LRT,1.399633,103.916536
Oasis,LRT,1.402304,103.912736
Damai,LRT,1.405293,103.908606
Sam Kee,LRT,1.409808,103.90492
Teck Lee,LRT,1.412783,103.906565
Punggol Point,LRT,1.416932,103.90668
Samudera,LRT,1.415955,103.902185
