OBJECTID,STN_NAME,STN_NO,X,Y,Latitude,Longitude,COLOR
12,ADMIRALTY MRT STATION,NS10,24402.1063,46918.1131,1.440585001,103.8009982,RED
16,ALJUNIED MRT STATION,EW9,33518.6049,33190.0020,1.316432612,103.882893,GREEN
33,ANG MO KIO MRT STATION,NS16,29807.2655,39105.7720,1.369933175,103.8495535,RED
81,BAKAU LRT STATION,SE3,36026.0821,41113.8766,1.388092704,103.9054179,OTHERS
80,BANGKIT LRT STATION,BP9,21248.2460,40220.9693,1.380017897,103.7726667,OTHERS
153,BARTLEY MRT STATION,CC12,33168.3039,36108.7003,1.342828338,103.8797462,YELLOW
115,BAYFRONT MRT STATION,CE1,30867.0093,29368.6250,1.281873788,103.8590733,OTHERS
115,BAYFRONT MRT STATION,DT16,30867.0093,29368.6250,1.281873788,103.8590733,BLUE
140,BEAUTY WORLD MRT STATION,DT5,21598.1665,35931.2359,1.341223176,103.77581,BLUE
37,BEDOK MRT STATION,EW5,38757.9520,34024.7048,1.323979969,103.9299587,GREEN
143,BEDOK NORTH MRT STATION,DT29,37421.7438,35214.6804,1.334742117,103.9179554,BLUE
149,BEDOK RESERVOIR MRT STATION,DT30,39008.3132,35421.0409,1.33660783,103.9322077,BLUE
100,BENCOOLEN MRT STATION,DT21,29899.2575,31247.3368,1.29886427,103.8503799,BLUE
99,BENDEMEER MRT STATION,DT23,31300.8084,32884.7382,1.313672233,103.8629702,BLUE
109,BISHAN MRT STATION,CC15,29762.3507,37046.3699,1.35130868,103.84915,YELLOW
158,BISHAN MRT STATION,NS17,29649.8988,36994.4330,1.350838988,103.8481398,RED
178,BOON KENG MRT STATION,NE9,31157.0712,33517.6089,1.319395706,103.861679,PURPLE
34,BOON LAY MRT STATION,EW27,13837.9827,35641.9191,1.338604054,103.7060994,GREEN
185,BOTANIC GARDENS MRT STATION,CC19,25959.4046,33817.7525,1.322110193,103.8149876,YELLOW
159,BOTANIC GARDENS MRT STATION,DT9,26087.2663,33852.4484,1.322423979,103.8161362,BLUE
182,BRADDELL MRT STATION,NS18,29500.0972,35848.0687,1.340471684,103.8467942,RED
93,BRAS BASAH MRT STATION,CC2,29930.7674,31025.9016,1.296861687,103.8506629,YELLOW
183,BUANGKOK MRT STATION,NE15,34655.3132,40537.2069,1.382877858,103.8931042,PURPLE
103,BUGIS MRT STATION,DT14,30620.8769,31323.2495,1.299550746,103.8568623,BLUE
111,BUGIS MRT STATION,EW12,30491.5648,31424.3503,1.300465076,103.8557007,GREEN
32,BUKIT BATOK MRT STATION,NS2,18679.3541,36795.0141,1.349034109,103.74959,RED
117,BUKIT BROWN MRT STATION,CC18,27707.4166,35102.4802,1.333728882,103.8306903,YELLOW
