neighbourhood_group,neighbourhood
Central Region,Bishan
Central Region,Bukit Merah
Central Region,Bukit Timah
Central Region,Downtown Core
Central Region,Geylang
Central Region,Kallang
Central Region,Marina East
Central Region,Marina South
Central Region,Marine Parade
Central Region,Museum
Central Region,Newton
Central Region,Novena
Central Region,Orchard
Central Region,Outram
Central Region,Queenstown
Central Region,River Valley
Central Region,Rochor
Central Region,Singapore River
Central Region,Southern Islands
Central Region,Straits View
Central Region,Tanglin
Central Region,Toa Payoh
East Region,Bedok
East Region,Changi
East Region,Changi Bay
East Region,Pasir Ris
East Region,Paya Lebar
East Region,Tampines
North-East Region,Ang Mo Kio
North-East Region,Hougang
North-East Region,North-Eastern Islands
North-East Region,Punggol
North-East Region,Seletar
North-East Region,Sengkang
North-East Region,Serangoon
North Region,Central Water Catchment
North Region,Lim Chu Kang
North Region,Mandai
North Region,Sembawang
North Region,Simpang
North Region,Sungei Kadut
North Region,Woodlands
North Region,Yishun
West Region,Boon Lay
West Region,Bukit Batok
West Region,Bukit Panjang
West Region,Choa Chu Kang
West Region,Clementi
West Region,Jurong East
West Region,Jurong West
West Region,Pioneer
West Region,Tengah
West Region,Tuas
West Region,Western Islands
West Region,Western Water Catchment
